ds,NO2,SO2,PM25,PM10
2025-04-23 19:30:00,46.59244243081666,12.544334175119761,33.198691071087076,125.59788662541399
2025-04-23 19:45:00,47.416090530185755,12.314751791927305,33.545361933306225,127.16242553891844
2025-04-23 20:00:00,47.973644498669245,12.091504840910329,33.75654759604305,128.05243643973296
2025-04-23 20:15:00,48.25459162322408,11.884260501451141,33.82690431299377,128.25472369657
2025-04-23 20:30:00,48.25874910153492,11.69964222576157,33.7574390176505,127.78558219453804
2025-04-23 20:45:00,47.99614407925044,11.540945182339302,33.55539003962606,126.68963751638829
2025-04-23 21:00:00,47.48638287767003,11.408119622618178,33.233763139275425,125.03716251569341
2025-04-23 21:15:00,46.75754840307374,11.298015561633155,32.81055311865837,122.92003627303508
2025-04-23 21:30:00,45.844691984794835,11.2048634033656,32.307700811190266,120.4465931982748
2025-04-23 21:45:00,44.788008950573115,11.12094844359619,31.749851507694697,117.73567595888835
2025-04-23 22:00:00,43.63080468699186,11.037423706886965,31.162992780831555,114.91025178219996
2025-04-23 22:15:00,42.41736866962658,10.94519624300298,30.573056446756556,112.09097458809514
2025-04-23 22:30:00,41.19087738957137,10.835817448508283,30.004570645309425,109.39007407807038
2025-04-23 22:45:00,39.99144306074902,10.70230848033282,29.479443652328293,106.90592746574559
2025-04-23 23:00:00,38.85441380841709,10.539857319868215,29.015951388502558,104.71862182401581
2025-04-23 23:15:00,37.8090135199322,10.346334112885126,28.62798633325185,102.88674832775202
2025-04-23 23:30:00,36.87738684361695,10.122585307002343,28.324607654218866,101.44558839341205
2025-04-23 23:45:00,36.07408846860123,9.872483827593936,28.109912037625715,100.4067612765736
2025-04-24 00:45:00,34.17839398937695,8.774550215832468,28.06476105904847,99.77515111884007
2025-04-24 01:00:00,33.9886210652851,8.530728405531228,28.209789074353964,100.2381045093772
2025-04-24 01:15:00,33.879573351489626,8.32203874114078,28.392429391818844,100.81680736033019
2025-04-24 01:30:00,33.83140138518843,8.157858804083283,28.60019527198638,101.44469005461042
2025-04-24 01:45:00,33.824693729745064,8.045091022270029,28.82220362059051,102.06259600497799
2025-04-24 02:00:00,33.84178632036786,7.987561158937094,29.049971710852347,102.62256844128176
2025-04-24 02:15:00,33.86783590149691,7.985632513046329,29.277986687395362,103.09064908542851
2025-04-24 02:30:00,33.89159652966144,8.036069151370189,29.504011055825455,103.44853015847536
2025-04-24 02:45:00,33.90586068401902,8.13216372927137,29.729106539309704,103.69398296093928
2025-04-24 03:00:00,33.90755108644298,8.264126374214904,29.957378894371722,103.84007172357956
2025-04-24 03:15:00,33.89747418004423,8.419712042843223,30.195466149922577,103.91324476127713
2025-04-24 03:30:00,33.879769643278436,8.585046076387563,30.45181088512802,103.95047050119949
2025-04-24 03:45:00,33.86111075564086,8.745592635100772,30.735772360297403,103.99564869375419
2025-04-24 04:00:00,33.8497265230402,8.88719937504934,31.056645517935834,104.09557291200359
2025-04-24 04:15:00,33.854327188739816,8.997144988629424,31.422660341197947,104.2957464007685
2025-04-24 04:30:00,33.88301945363159,9.065114571842582,31.840036342255036,104.6363579199267
2025-04-24 05:00:00,34.036177814116115,9.050682341067137,32.838968145321715,105.85233434005941
2025-04-24 05:15:00,34.16556969745071,8.966087492282472,33.41652282476219,106.75304812500652
2025-04-24 05:30:00,34.32788229041727,8.835581225685328,34.03691508125752,107.84199167231938
2025-04-24 06:00:00,34.723187576110305,8.478125507702597,35.35585916016158,110.47779490574936
2025-04-24 06:15:00,34.93416304216606,8.279987379942733,36.02142542477121,111.94022531712865
2025-04-24 06:30:00,35.13522147311624,8.091778438868406,36.665426866768335,113.42720611265638
2025-04-24 07:00:00,35.443591690921394,7.817509112235962,37.80718691139354,116.23246390320774
2025-04-24 07:15:00,35.51927888299317,7.764887955834302,38.26610867258863,117.431839470184
2025-04-24 07:30:00,35.52386186595402,7.786677607898211,38.627969295798486,118.42555800280923
2025-04-24 07:45:00,35.44639368759671,7.891688413785049,38.879996426682375,119.17284097098914
2025-04-24 08:00:00,35.27932343459986,8.083977333956925,39.013551836250905,119.64544803108231
2025-04-24 08:15:00,35.01897308086701,8.362374677110651,39.02459953361211,119.82921337521326
2025-04-24 08:30:00,34.66574540840715,8.720336996407267,38.913895767962984,119.72458232908777
2025-04-24 08:45:00,34.22404894976165,9.146142978135066,38.686889136319266,119.34612059133619
2025-04-24 09:00:00,33.70194718284526,9.623426879511229,38.353338709332974,118.72104372664401
2025-04-24 09:15:00,33.11055994683652,10.13202188572924,37.92667722326394,117.88688605517065
2025-04-24 09:30:00,32.463263708970906,10.649065132898277,37.423163630293026,116.8884907651242
2025-04-24 09:45:00,31.774752534163746,11.150298464727468,36.86088346386937,115.77455243679563
2025-04-24 10:00:00,31.060032265581885,11.61148544164506,36.258665585451,114.59397564431244
2025-04-24 10:15:00,30.333425697650675,12.009856651752818,35.63498922079263,113.39232653377705
2025-04-24 10:30:00,29.607666017256204,12.325492544018305,35.006955414768576,112.2086472724179
2025-04-24 10:45:00,28.893149489932917,12.542556066759207,34.389392107472034,111.07287647851038
2025-04-24 11:00:00,28.19740669200589,12.650296168634863,33.794152299480366,110.0040740012771
2025-04-24 11:15:00,27.524835343790695,12.643757156510866,33.22965091050029,109.00958886852729
2025-04-24 11:30:00,26.87671813547185,12.524147123878613,32.700668905678306,108.08523907790261
2025-04-24 11:45:00,26.25152722600553,12.298839986233236,32.20843422889912,107.21649609306871
2025-04-24 12:00:00,25.645494924332954,11.98100870067574,31.750969392912054,106.38059088395153
2025-04-24 12:15:00,25.05340902010632,11.588910514663844,31.32367657949368,105.54938754042641
2025-04-24 12:30:00,24.469572859217923,11.144867058291084,30.92011413064317,104.69281001678931
2025-04-24 12:45:00,23.888855944697607,10.674001344630154,30.532904557086127,103.78256189082923
2025-04-24 13:00:00,23.307751677967673,10.202809013688492,30.154704618885404,102.79585155365622
2025-04-24 13:15:00,22.72535558389099,9.75765145613362,29.779163321553913,101.71882817506919
2025-04-24 13:30:00,22.144180348026534,9.363263126823323,29.401794181928995,100.54944788535018
2025-04-24 13:45:00,21.570733130607067,9.041364107451416,29.020693830614178,99.2995241702235
2025-04-24 14:00:00,21.01579538675543,8.809461898079109,28.637049561146576,97.99576933115227
2025-04-24 14:15:00,20.49436490449486,8.679914003018936,28.25539311806501,96.67970161116693
2025-04-24 14:30:00,20.02524267912799,8.65930593938971,27.88357582526119,95.4063706551139
2025-04-24 14:45:00,19.630272071349573,8.748178979119068,27.532459891239096,94.24193712310266
2025-04-24 15:00:00,19.33326274729763,8.941119571145737,27.215341032268324,93.26022478024917
2025-04-24 15:15:00,19.158655453791837,9.227199453104966,26.947137027563667,92.53843953262664
2025-04-24 15:30:00,19.13000408381434,9.590733457342958,26.743394110321113,92.15231430449442
